Street Combination,Street Name,From Limit Street,To Limit Street,Maintenance Dates,Functional Class,Most Recent Inspection Grade,Second Most Recent Inspection Grade,Third Most Recent Inspection Grade,Most Recent Inspection Year,Second Most Recent Inspection Year,Third Most Recent Inspection Year,Days Since Last Maintenance,Number of Maintenance Events,Average Time Between Maintenances
CROWN RIDGE RD|COLLINGSWORTH DR|RUNDBERG LN E,CROWN RIDGE RD,RUNDBERG LN E,COLLINGSWORTH DR,['2018-08-09'],Residential,C,C,C,2020.0,2018.0,2018.0,2188,1,
CROWN RIDGE RD|CROWN OAKS DR|CROWN RIDGE PATH,CROWN RIDGE RD,CROWN OAKS DR,CROWN RIDGE PATH,['2018-08-09'],Residential,B,C,C,2020.0,2018.0,2018.0,2188,1,
CROWNCREST DR|CARDIN DR|CEBERRY DR,CROWNCREST DR,CEBERRY DR,CARDIN DR,['2019-01-26'],Residential,C,C,C,2020.0,2018.0,2018.0,2018,1,
CROWNSPOINT CIR|9401|CROWNSPOINT DR,CROWNSPOINT CIR,9401,CROWNSPOINT DR,['2018-06-21'],Residential,D,C,C,2022.0,2019.0,2017.0,2237,1,
CROWNSPOINT DR|2903|CANUS DR,CROWNSPOINT DR,CANUS DR,2903,['2017-05-16'],Collector,C,B,C,2022.0,2019.0,2017.0,2638,1,
CROWNSPOINT DR|CANUS DR|NIGHTJAR DR,CROWNSPOINT DR,NIGHTJAR DR,CANUS DR,['2017-05-16'],Collector,C,C,C,2022.0,2019.0,2017.0,2638,1,
CROWNSPOINT DR|CASTLEWOOD DR|MOSSWOOD CIR,CROWNSPOINT DR,CASTLEWOOD DR,MOSSWOOD CIR,['2018-06-30'],Collector,C,D,D,2022.0,2019.0,2017.0,2228,1,
CROWNSPOINT DR|CASTLEWOOD DR|ROXANNA DR,CROWNSPOINT DR,ROXANNA DR,CASTLEWOOD DR,['2018-06-30'],Collector,C,C,C,2022.0,2019.0,2017.0,2228,1,
CROWNSPOINT DR|CROWNSPOINT CIR|QUEENSWOOD DR,CROWNSPOINT DR,CROWNSPOINT CIR,QUEENSWOOD DR,['2018-06-30'],Collector,C,C,C,2022.0,2019.0,2017.0,2228,1,
CROWNSPOINT DR|CROWNSPOINT CIR|RAMBLEWOOD DR,CROWNSPOINT DR,RAMBLEWOOD DR,CROWNSPOINT CIR,['2018-06-30'],Collector,D,D,D,2022.0,2019.0,2017.0,2228,1,
CROWNSPOINT DR|CURLEW DR|MARSH DR,CROWNSPOINT DR,MARSH DR,CURLEW DR,['2018-06-30'],Collector,A,A,A,2022.0,2019.0,2017.0,2228,1,
CROWNSPOINT DR|CURLEW DR|NIGHTJAR DR,CROWNSPOINT DR,CURLEW DR,NIGHTJAR DR,['2017-05-16'],Collector,D,C,C,2022.0,2019.0,2017.0,2638,1,
CROWNSPOINT DR|DOLIVER DR|KEMPLER DR,CROWNSPOINT DR,KEMPLER DR,DOLIVER DR,['2018-06-30'],Collector,A,B,C,2022.0,2019.0,2017.0,2228,1,
CROWNSPOINT DR|DOLIVER DR|TOULOUSE DR,CROWNSPOINT DR,DOLIVER DR,TOULOUSE DR,['2018-06-30'],Collector,A,A,A,2022.0,2019.0,2017.0,2228,1,
CROWNSPOINT DR|HEATHERWOOD DR|MOSSWOOD CIR,CROWNSPOINT DR,MOSSWOOD CIR,HEATHERWOOD DR,['2018-06-30'],Collector,C,B,B,2022.0,2019.0,2017.0,2228,1,
CROWNSPOINT DR|HEATHERWOOD DR|RAMBLEWOOD DR,CROWNSPOINT DR,HEATHERWOOD DR,RAMBLEWOOD DR,['2018-06-30'],Collector,D,C,D,2022.0,2019.0,2017.0,2228,1,
CROWNSPOINT DR|KEMPLER DR|MANCHACA RD,CROWNSPOINT DR,MANCHACA RD,KEMPLER DR,['2018-06-30'],Collector,F,B,B,2022.0,2019.0,2017.0,2228,1,
CROWNSPOINT DR|MARSH DR|QUEENSWOOD DR,CROWNSPOINT DR,QUEENSWOOD DR,MARSH DR,['2018-06-30'],Collector,D,D,D,2022.0,2019.0,2017.0,2228,1,
CROWNSPOINT DR|ROXANNA DR|TOULOUSE DR,CROWNSPOINT DR,TOULOUSE DR,ROXANNA DR,['2018-06-30'],Collector,B,B,B,2022.0,2019.0,2017.0,2228,1,
CRYSTAL WATER DR|CRYSTAL WATER CV|SUN SPIRIT DR,CRYSTAL WATER DR,CRYSTAL WATER CV,SUN SPIRIT DR,['2017-05-02'],Residential,B,B,B,2021.0,2019.0,2017.0,2652,1,
CRYSTAL WATER DR|CRYSTAL WATER CV|TRADING BND,CRYSTAL WATER DR,TRADING BND,CRYSTAL WATER CV,['2017-05-02'],Residential,A,B,B,2021.0,2019.0,2017.0,2652,1,
CRYSTAL WATER DR|REPUBLIC OF TEXAS BLVD|TRADING BND,CRYSTAL WATER DR,TRADING BND,REPUBLIC OF TEXAS BLVD,['2017-05-02'],Residential,C,C,C,2021.0,2019.0,2017.0,2652,1,
CRYSTAL WATER DR|SUN SPIRIT DR|TRADING BND,CRYSTAL WATER DR,SUN SPIRIT DR,TRADING BND,['2017-05-02'],Residential,C,C,C,2021.0,2019.0,2017.0,2652,1,
CRYSTAL WATER DR|TRADING BND|TRAVIS COUNTRY CIR,CRYSTAL WATER DR,TRAVIS COUNTRY CIR,TRADING BND,['2017-05-02'],Residential,B,B,B,2021.0,2019.0,2017.0,2652,1,
CRYSTALBROOK CV|7600|CRYSTALBROOK WEST,CRYSTALBROOK CV,7600,CRYSTALBROOK WEST,['2017-01-19'],Collector,F,D,D,2021.0,2018.0,2018.0,2755,1,
CRYSTALBROOK WEST|7500|TUMBLEWEED DR,CRYSTALBROOK WEST,7500,TUMBLEWEED DR,['2017-01-19'],Residential,C,C,C,2021.0,2018.0,2018.0,2755,1,
CRYSTALBROOK WEST|7622|7627,CRYSTALBROOK WEST,7622,7627,['2017-01-19'],Residential,F,C,C,2021.0,2018.0,2018.0,2755,1,
CRYSTALBROOK WEST|7626|RIO PASS,CRYSTALBROOK WEST,7626,RIO PASS,['2017-01-19'],Residential,B,B,B,2021.0,2018.0,2018.0,2755,1,
CRYSTALBROOK WEST|CRYSTALBROOK CV|SAND BAR DR,CRYSTALBROOK WEST,SAND BAR DR,CRYSTALBROOK CV,['2017-01-19'],Residential,A,C,C,2021.0,2018.0,2018.0,2755,1,
CRYSTALBROOK WEST|HIBISCUS DR|SAND BAR DR,CRYSTALBROOK WEST,HIBISCUS DR,SAND BAR DR,['2017-01-19'],Residential,B,B,B,2021.0,2018.0,2018.0,2755,1,
CRYSTALBROOK WEST|HIBISCUS DR|TUMBLEWEED DR,CRYSTALBROOK WEST,TUMBLEWEED DR,HIBISCUS DR,['2017-01-19'],Residential,B,D,D,2021.0,2018.0,2018.0,2755,1,
CRYSTALBROOK WEST|LAZY CREEK DR|RIO PASS,CRYSTALBROOK WEST,RIO PASS,LAZY CREEK DR,['2019-10-28'],Residential,A,C,C,2021.0,2018.0,2018.0,1743,1,
CULLEN AVE|GROVER AVE|WOODROW AVE,CULLEN AVE,GROVER AVE,WOODROW AVE,['2019-03-01'],Residential,A,D,D,2020.0,2018.0,2018.0,1984,1,
CULLEN LN|RALPH ABLANEDO DR|SLAUGHTER LN W,CULLEN LN,RALPH ABLANEDO DR,SLAUGHTER LN W,['2018-06-14'],Residential,C,C,C,2022.0,2019.0,2017.0,2244,1,
CULZEAN DR|GARDEN ROSE PATH|LADYWELL LN,CULZEAN DR,LADYWELL LN,GARDEN ROSE PATH,['2018-03-21'],Residential,D,C,C,2020.0,2018.0,2018.0,2329,1,
CUMBERLAND RD|1000|1003,CUMBERLAND RD,1000,1003,['2018-07-17'],Collector,B,D,C,2021.0,2019.0,2017.0,2211,1,
CUMBERLAND RD|1004|1037,CUMBERLAND RD,1004,1037,['2018-07-17'],Collector,C,B,C,2021.0,2019.0,2017.0,2211,1,
CUMBERLAND RD|1213|RAYWOOD DR,CUMBERLAND RD,RAYWOOD DR,1213,['2018-07-17'],Collector,D,C,C,2021.0,2019.0,2017.0,2211,1,
CUMBERLAND RD|1ST ST S|2ND ST S,CUMBERLAND RD,1ST ST S,2ND ST S,['2018-09-20'],Collector,D,B,C,2021.0,2019.0,2017.0,2146,1,
CUMBERLAND RD|1ST ST S|STACY LN,CUMBERLAND RD,STACY LN,1ST ST S,['2018-09-20'],Collector,D,B,B,2021.0,2019.0,2017.0,2146,1,
CUMBERLAND RD|2ND ST S|3RD ST S,CUMBERLAND RD,2ND ST S,3RD ST S,['2018-09-20'],Collector,C,C,C,2021.0,2019.0,2017.0,2146,1,
CUMBERLAND RD|3RD ST S|OAK CREST AVE,CUMBERLAND RD,3RD ST S,OAK CREST AVE,['2018-09-20'],Collector,B,B,C,2021.0,2019.0,2017.0,2146,1,
CUMBERLAND RD|4TH ST S|5TH ST S,CUMBERLAND RD,4TH ST S,5TH ST S,['2018-09-20'],Collector,C,D,C,2021.0,2019.0,2017.0,2146,1,
CUMBERLAND RD|4TH ST S|OAK CREST AVE,CUMBERLAND RD,OAK CREST AVE,4TH ST S,['2018-09-20'],Collector,C,D,C,2021.0,2019.0,2017.0,2146,1,
CUMBERLAND RD|CONGRESS AVE S|EDENS DR,CUMBERLAND RD,CONGRESS AVE S,EDENS DR,['2018-09-20'],Collector,C,B,C,2021.0,2019.0,2017.0,2146,1,
CUMBERLAND RD|EDENS DR|EUCLID AVE,CUMBERLAND RD,EDENS DR,EUCLID AVE,['2018-09-20'],Collector,D,B,C,2021.0,2019.0,2017.0,2146,1,
CUMBERLAND RD|EUCLID AVE|WILSON ST,CUMBERLAND RD,EUCLID AVE,WILSON ST,['2018-09-20'],Collector,C,A,C,2021.0,2019.0,2017.0,2146,1,
CUMBERLAND RD|LA MESA DR|STACY LN,CUMBERLAND RD,LA MESA DR,STACY LN,['2018-09-20'],Collector,C,A,A,2021.0,2019.0,2017.0,2146,1,
CUMBERLAND RD|LA MESA DR|WILSON ST,CUMBERLAND RD,WILSON ST,LA MESA DR,['2018-09-20'],Collector,C,C,C,2021.0,2019.0,2017.0,2146,1,
CUMBRIA LN|ANTOINETTE PL|MERCURY LN,CUMBRIA LN,MERCURY LN,ANTOINETTE PL,['2017-05-02'],Residential,A,C,C,2020.0,2018.0,2018.0,2652,1,
CUMBRIA LN|ANTOINETTE PL|WYCLIFF LN,CUMBRIA LN,ANTOINETTE PL,WYCLIFF LN,['2017-05-02'],Residential,C,C,C,2020.0,2018.0,2018.0,2652,1,
CUMBRIA LN|BOUVET CT|CHARLEMAGNE CT,CUMBRIA LN,CHARLEMAGNE CT,BOUVET CT,['2017-05-02'],Residential,A,C,C,2020.0,2018.0,2018.0,2652,1,
CUMBRIA LN|BOUVET CT|MERCURY LN,CUMBRIA LN,BOUVET CT,MERCURY LN,['2017-05-02'],Residential,A,C,C,2020.0,2018.0,2018.0,2652,1,
CUMBRIA LN|CHARLEMAGNE CT|DAUPHINE DR,CUMBRIA LN,DAUPHINE DR,CHARLEMAGNE CT,['2017-05-02'],Residential,A,B,B,2020.0,2018.0,2018.0,2652,1,
CURLEW DR|AFTONSHIRE WAY|MONARCH DR,CURLEW DR,MONARCH DR,AFTONSHIRE WAY,['2017-07-11'],Collector,C,C,C,2022.0,2019.0,2017.0,2582,1,
CURLEW DR|AFTONSHIRE WAY|SLAUGHTER LN W,CURLEW DR,AFTONSHIRE WAY,SLAUGHTER LN W,['2017-07-11'],Collector,F,C,C,2022.0,2019.0,2017.0,2582,1,
CURLEW DR|CROWNSPOINT DR|FIRECREST DR,CURLEW DR,FIRECREST DR,CROWNSPOINT DR,['2017-07-11'],Collector,C,C,C,2022.0,2019.0,2017.0,2582,1,
CURLEW DR|CROWNSPOINT DR|HOLLY SPRINGS DR,CURLEW DR,CROWNSPOINT DR,HOLLY SPRINGS DR,['2017-07-11'],Collector,C,C,C,2022.0,2019.0,2017.0,2582,1,
CURLEW DR|CURLEW CV|KENTISH DR,CURLEW DR,KENTISH DR,CURLEW CV,['2017-07-11'],Collector,A,A,A,2022.0,2019.0,2017.0,2582,1,
CURLEW DR|CURLEW CV|PECTORAL DR,CURLEW DR,CURLEW CV,PECTORAL DR,['2017-07-11'],Collector,A,B,A,2022.0,2019.0,2017.0,2582,1,
CURLEW DR|DUPOINT CV|FIRECREST DR,CURLEW DR,DUPOINT CV,FIRECREST DR,['2017-07-11'],Collector,B,B,B,2022.0,2019.0,2017.0,2582,1,
CURLEW DR|DUPOINT CV|WILCREST DR,CURLEW DR,WILCREST DR,DUPOINT CV,['2017-07-11'],Collector,B,A,A,2022.0,2019.0,2017.0,2582,1,
CURLEW DR|GUIDEPOST TRL|KENTISH DR,CURLEW DR,GUIDEPOST TRL,KENTISH DR,['2017-07-11'],Collector,A,B,B,2022.0,2019.0,2017.0,2582,1,
CURLEW DR|HOLLY SPRINGS DR|MONARCH DR,CURLEW DR,HOLLY SPRINGS DR,MONARCH DR,['2017-07-11'],Collector,B,B,C,2022.0,2019.0,2017.0,2582,1,
CURLEW DR|PECTORAL DR|WILCREST DR,CURLEW DR,PECTORAL DR,WILCREST DR,['2017-07-11'],Collector,A,A,A,2022.0,2019.0,2017.0,2582,1,
CURRIN LN|ALSATIA DR|MASON DELLS LN,CURRIN LN,ALSATIA DR,MASON DELLS LN,['2017-10-09'],Residential,C,D,D,2022.0,2019.0,2017.0,2492,1,
CURRIN LN|CHATAM BERRY LN|MASON DELLS LN,CURRIN LN,MASON DELLS LN,CHATAM BERRY LN,['2017-10-09'],Residential,C,C,C,2022.0,2019.0,2017.0,2492,1,
CUTTING HORSE LN|DAPPLEGREY LN|METRIC BLVD,CUTTING HORSE LN,DAPPLEGREY LN,METRIC BLVD,"['2017-06-13', '2017-06-13']",Collector,F,C,C,2020.0,2018.0,2018.0,2610,2,0.0
CUTTING HORSE LN|DAPPLEGREY LN|TAPADERO DR,CUTTING HORSE LN,TAPADERO DR,DAPPLEGREY LN,['2017-06-13'],Collector,C,C,C,2020.0,2018.0,2018.0,2610,1,
CUTTING HORSE LN|SCOFIELD FARMS DR|TAPADERO DR,CUTTING HORSE LN,SCOFIELD FARMS DR,TAPADERO DR,['2017-06-13'],Collector,A,C,C,2020.0,2018.0,2018.0,2610,1,
CYPRESS BND|FENCE ROW|SPRING MEADOW RD,CYPRESS BND,FENCE ROW,SPRING MEADOW RD,['2018-08-21'],Collector,D,C,D,2022.0,2019.0,2017.0,2176,1,
DAFFODIL DR|GLADIOLA BLVD|POPPY TRL,DAFFODIL DR,GLADIOLA BLVD,POPPY TRL,['2018-10-22'],Residential,B,B,B,2022.0,2019.0,2017.0,2114,1,
DAFFODIL DR|MONTOPOLIS DR|POPPY TRL,DAFFODIL DR,POPPY TRL,MONTOPOLIS DR,['2018-10-22'],Residential,D,C,C,2022.0,2019.0,2017.0,2114,1,
DAHLGREEN AVE|GALSWORTHY LN|LA CROSSE AVE,DAHLGREEN AVE,LA CROSSE AVE,GALSWORTHY LN,['2017-04-04'],Collector,B,B,B,2022.0,2019.0,2017.0,2680,1,
DAHLGREEN AVE|GALSWORTHY LN|TRELAWNEY LN,DAHLGREEN AVE,GALSWORTHY LN,TRELAWNEY LN,['2017-04-04'],Collector,A,B,A,2022.0,2019.0,2017.0,2680,1,
DAHLGREEN AVE|GORHAM GLEN LN|TRELAWNEY LN,DAHLGREEN AVE,TRELAWNEY LN,GORHAM GLEN LN,['2017-04-04'],Collector,B,B,B,2022.0,2019.0,2017.0,2680,1,
DAKOTA LN|12910|UTE TRL S,DAKOTA LN,UTE TRL S,12910,['2016-10-10'],Residential,C,C,C,2020.0,2018.0,2018.0,2856,1,
DALEA DR|CHERISSE DR|FM 1826,DALEA DR,CHERISSE DR,FM 1826,['2019-07-24'],Residential,C,C,B,2022.0,2019.0,2017.0,1839,1,
DALLUM DR|COLLINGSWORTH DR|NORTHCAPE DR,DALLUM DR,COLLINGSWORTH DR,NORTHCAPE DR,['2018-08-02'],Residential,A,B,B,2020.0,2018.0,2018.0,2195,1,
DALLUM DR|NORTHCAPE DR|RANDALL DR,DALLUM DR,NORTHCAPE DR,RANDALL DR,['2018-08-02'],Residential,C,C,C,2020.0,2018.0,2018.0,2195,1,
DALTON LN|BASTROP HWY SVC RD|HAWKINS LN,DALTON LN,HAWKINS LN,BASTROP HWY SVC RD,['2017-08-13'],Residential,C,B,B,2021.0,2019.0,2017.0,2549,1,
DALTON LN|HAWKINS LN|SHERMAN RD,DALTON LN,SHERMAN RD,HAWKINS LN,['2017-08-13'],Residential,B,C,C,2021.0,2019.0,2017.0,2549,1,
DALY CV|Cul De Sac|DALY DR,DALY CV,DALY DR,Cul De Sac,['2019-11-01'],Residential,D,A,B,2022.0,2019.0,2018.0,1739,1,
DALY DR|5805|ZOELLERS DR,DALY DR,ZOELLERS DR,5805,['2019-11-01'],Residential,C,C,C,2022.0,2019.0,2017.0,1739,1,
DALY DR|5808|DALY CV,DALY DR,5808,DALY CV,['2019-11-01'],Residential,B,B,B,2022.0,2019.0,2018.0,1739,1,
DALY DR|DALY CV|RIVER PLANTATION DR,DALY DR,DALY CV,RIVER PLANTATION DR,['2019-11-01'],Residential,B,A,B,2022.0,2019.0,2018.0,1739,1,
DALY DR|PLAYERS PATH|ZOELLERS DR,DALY DR,PLAYERS PATH,ZOELLERS DR,['2019-11-01'],Residential,D,C,D,2022.0,2019.0,2017.0,1739,1,
DANA CV|2501|SPYGLASS DR,DANA CV,2501,SPYGLASS DR,['2018-12-12'],Residential,C,B,A,2021.0,2019.0,2017.0,2063,1,
DANDELION TRL|PINEY CREEK BND|PINEY CREEK BND,DANDELION TRL,PINEY CREEK BND,PINEY CREEK BND,['2016-10-14'],Collector,D,D,D,2022.0,2019.0,2017.0,2852,1,
DANIEL DR|BOULDIN AVE|DAWSON RD,DANIEL DR,BOULDIN AVE,DAWSON RD,['2017-07-05'],Residential,D,D,D,2021.0,2019.0,2017.0,2588,1,
DANNY DR|12300|SPANIEL DR,DANNY DR,12300,SPANIEL DR,['2017-06-01'],Residential,D,C,C,2020.0,2018.0,2018.0,2622,1,
DANNY DR|SCRIBE DR|SPANIEL DR,DANNY DR,SPANIEL DR,SCRIBE DR,['2017-06-01'],Residential,F,B,B,2020.0,2018.0,2018.0,2622,1,
DANTE CT|2601|ARROYO BLANCO DR,DANTE CT,2601,ARROYO BLANCO DR,['2019-08-06'],Residential,D,C,C,2022.0,2019.0,2017.0,1826,1,
DANVILLE DR|BRIDGETOWN DR|FURNESS DR,DANVILLE DR,FURNESS DR,BRIDGETOWN DR,['2017-08-14'],Residential,C,D,D,2020.0,2018.0,2018.0,2548,1,
DANVILLE DR|BRIDGETOWN DR|WEEPING WILLOW DR,DANVILLE DR,BRIDGETOWN DR,WEEPING WILLOW DR,['2017-08-14'],Residential,B,C,C,2020.0,2018.0,2018.0,2548,1,
DANVILLE DR|DURHAM DR|WEEPING WILLOW DR,DANVILLE DR,WEEPING WILLOW DR,DURHAM DR,['2017-08-14'],Residential,C,C,C,2020.0,2018.0,2018.0,2548,1,
DAPPLEGREY LN|1301|BRAIDED ROPE DR,DAPPLEGREY LN,1301,BRAIDED ROPE DR,['2017-06-13'],Residential,F,D,D,2020.0,2018.0,2018.0,2610,1,
DAPPLEGREY LN|BRAIDED ROPE DR|PONY LN,DAPPLEGREY LN,PONY LN,BRAIDED ROPE DR,"['2017-06-13', '2017-06-13']",Residential,B,B,C,2020.0,2020.0,2018.0,2610,2,0.0
DAPPLEGREY LN|BRAIDED ROPE DR|SCOFIELD FARMS DR,DAPPLEGREY LN,BRAIDED ROPE DR,SCOFIELD FARMS DR,['2017-06-13'],Residential,C,D,D,2020.0,2018.0,2018.0,2610,1,
DAPPLEGREY LN|CINCHRING LN|PICKET ROPE LN,DAPPLEGREY LN,CINCHRING LN,PICKET ROPE LN,['2017-06-13'],Residential,F,B,B,2020.0,2018.0,2018.0,2610,1,
DAPPLEGREY LN|CINCHRING LN|SCOFIELD FARMS DR,DAPPLEGREY LN,SCOFIELD FARMS DR,CINCHRING LN,['2017-06-13'],Residential,B,C,C,2020.0,2018.0,2018.0,2610,1,
DAPPLEGREY LN|CUTTING HORSE LN|SCOFIELD FARMS DR,DAPPLEGREY LN,CUTTING HORSE LN,SCOFIELD FARMS DR,['2017-06-13'],Residential,B,C,C,2020.0,2018.0,2018.0,2610,1,
DAPPLEGREY LN|CUTTING HORSE LN|VISALIA LN,DAPPLEGREY LN,VISALIA LN,CUTTING HORSE LN,['2017-06-13'],Residential,C,C,C,2020.0,2018.0,2018.0,2610,1,
DAPPLEGREY LN|PICKET ROPE LN|VISALIA LN,DAPPLEGREY LN,PICKET ROPE LN,VISALIA LN,['2017-06-13'],Residential,C,C,C,2020.0,2018.0,2018.0,2610,1,
DARBY ST|HUDSON ST|WILCAB RD,DARBY ST,HUDSON ST,WILCAB RD,"['2018-04-23', '2018-10-04']",Collector,B,C,C,2021.0,2018.0,2018.0,2132,2,164.0
DARVONE CIR|1101|WYNNE LN,DARVONE CIR,1101,WYNNE LN,['2018-11-01'],Residential,D,B,B,2022.0,2019.0,2017.0,2104,1,
DARYL|10708|WINDY TRL,DARYL,WINDY TRL,10708,['2018-01-24'],Residential,D,C,C,2020.0,2018.0,2018.0,2385,1,
DAUPHINE DR|ANTOINETTE PL|MEUSE CV,DAUPHINE DR,MEUSE CV,ANTOINETTE PL,['2017-05-02'],Residential,A,A,A,2020.0,2018.0,2018.0,2652,1,
DAUPHINE DR|CABANA LN|CUMBRIA LN,DAUPHINE DR,CABANA LN,CUMBRIA LN,['2017-05-02'],Residential,B,F,F,2020.0,2018.0,2018.0,2652,1,
DAUPHINE DR|CUMBRIA LN|MEUSE CV,DAUPHINE DR,CUMBRIA LN,MEUSE CV,['2017-05-02'],Residential,A,C,C,2020.0,2018.0,2018.0,2652,1,
DAVID MOORE DR|SLAUGHTER LN W|SWEETWATER RIVER DR,DAVID MOORE DR,SLAUGHTER LN W,SWEETWATER RIVER DR,['2018-11-03'],Residential,B,B,B,2022.0,2019.0,2017.0,2102,1,
DAVID ST|22ND ST W|OLD 19TH ST,DAVID ST,OLD 19TH ST,22ND ST W,['2017-01-05'],Residential,D,C,C,2021.0,2018.0,2018.0,2769,1,
DAVIS LN|4304|4308,DAVIS LN,4304,4308,['2019-08-02'],Collector,A,B,A,2022.0,2019.0,2017.0,1830,1,
DAVIS LN|4305|4309,DAVIS LN,4305,4309,['2019-08-02'],Collector,B,B,B,2022.0,2019.0,2017.0,1830,1,
DAVIS LN|6000|6108,DAVIS LN,6000,6108,['2018-07-14'],Collector,B,B,B,2022.0,2019.0,2017.0,2214,1,
DAVIS LN|6001|6109,DAVIS LN,6001,6109,['2018-07-14'],Collector,B,B,B,2022.0,2019.0,2017.0,2214,1,
DAVIS LN|6110|6122,DAVIS LN,6110,6122,['2018-07-14'],Collector,A,A,A,2022.0,2019.0,2017.0,2214,1,
DAVIS LN|6111|6123,DAVIS LN,6111,6123,['2018-07-14'],Collector,D,A,A,2022.0,2019.0,2017.0,2214,1,
DAVIS LN|7505|BARSTOW DR,DAVIS LN,BARSTOW DR,7505,['2018-07-14'],Residential,,,,2018.0,,,2214,1,
DAVIS LN|BARSTOW DR|CLAIRMONT DR,DAVIS LN,CLAIRMONT DR,BARSTOW DR,['2018-07-14'],Collector,C,C,C,2022.0,2019.0,2017.0,2214,1,
DAVIS LN|BECKETT RD|FARRELL PL,DAVIS LN,BECKETT RD,FARRELL PL,"['2018-07-14', '2018-07-14']",Collector,A,A,B,2022.0,2022.0,2019.0,2214,2,0.0
DAVIS LN|BECKETT RD|FULBRIGHT LN,DAVIS LN,FULBRIGHT LN,BECKETT RD,"['2018-07-14', '2018-07-14']",Collector,A,A,B,2022.0,2022.0,2019.0,2214,2,0.0
DAVIS LN|BRODIE LN|CAMERON LOOP,DAVIS LN,CAMERON LOOP,BRODIE LN,['2018-11-17'],Collector,C,C,C,2022.0,2019.0,2017.0,2088,1,
DAVIS LN|CAMERON LOOP|PINEY CREEK BND,DAVIS LN,PINEY CREEK BND,CAMERON LOOP,['2018-11-17'],Collector,C,C,C,2022.0,2019.0,2017.0,2088,1,
DAVIS LN|CLAIRMONT DR|LANTANA WAY,DAVIS LN,LANTANA WAY,CLAIRMONT DR,"['2018-07-14', '2018-07-14']",Collector,B,B,B,2022.0,2022.0,2019.0,2214,2,0.0
DAVIS LN|COPANO DR|CORRAN FERRY DR,DAVIS LN,CORRAN FERRY DR,COPANO DR,"['2019-08-02', '2019-08-02']",Collector,B,B,B,2022.0,2022.0,2019.0,1830,2,0.0
DAVIS LN|COPANO DR|LATTA DR,DAVIS LN,COPANO DR,LATTA DR,"['2019-08-02', '2019-08-02']",Collector,A,B,B,2022.0,2022.0,2019.0,1830,2,0.0
DAVIS LN|EMPRESS BLVD|MANCHACA RD,DAVIS LN,MANCHACA RD,EMPRESS BLVD,['2018-11-17'],Collector,D,C,C,2022.0,2019.0,2017.0,2088,1,
DAVIS LN|EMPRESS BLVD|OAK LEDGE DR,DAVIS LN,EMPRESS BLVD,OAK LEDGE DR,['2018-11-17'],Collector,C,C,C,2022.0,2019.0,2017.0,2088,1,
DAVIS LN|ESCARPMENT BLVD|LANTANA WAY,DAVIS LN,ESCARPMENT BLVD,LANTANA WAY,"['2018-07-14', '2018-07-14']",Collector,D,A,B,2022.0,2022.0,2019.0,2214,2,0.0
DAVIS LN|FARRELL PL|SALCON CLIFF DR,DAVIS LN,FARRELL PL,SALCON CLIFF DR,"['2018-07-14', '2018-07-14']",Collector,A,A,A,2022.0,2022.0,2019.0,2214,2,0.0
DAVIS LN|FULBRIGHT LN|LA CRESADA DR,DAVIS LN,LA CRESADA DR,FULBRIGHT LN,"['2018-07-14', '2018-07-14']",Collector,A,A,A,2022.0,2022.0,2019.0,2214,2,0.0
DAVIS LN|GETTYSBURG DR|GUIDEPOST TRL,DAVIS LN,GETTYSBURG DR,GUIDEPOST TRL,['2016-10-17'],Collector,C,C,C,2022.0,2019.0,2017.0,2849,1,
DAVIS LN|GETTYSBURG DR|HUEBINGER PASS,DAVIS LN,HUEBINGER PASS,GETTYSBURG DR,"['2016-10-17', '2016-10-17']",Collector,B,A,B,2022.0,2022.0,2019.0,2849,2,0.0
DAVIS LN|GUIDEPOST TRL|ZEKE BND,DAVIS LN,GUIDEPOST TRL,ZEKE BND,['2016-10-17'],Collector,D,F,F,2022.0,2019.0,2017.0,2849,1,
DAVIS LN|LA CRESADA DR|MO-PAC SVC RD SB  S,DAVIS LN,MO-PAC SVC RD SB  S,LA CRESADA DR,"['2018-07-14', '2018-07-14']",Collector,A,A,A,2022.0,2022.0,2019.0,2214,2,0.0
DAVIS LN|LATTA DR|MULE DEER DR,DAVIS LN,LATTA DR,MULE DEER DR,"['2019-08-02', '2019-08-02']",Collector,C,B,B,2022.0,2022.0,2019.0,1830,2,0.0
DAVIS LN|LEO ST|STAR GRASS CIR,DAVIS LN,STAR GRASS CIR,LEO ST,['2018-11-17'],Collector,D,D,D,2022.0,2019.0,2017.0,2088,1,
DAVIS LN|MAGEE BND|SALCON CLIFF DR,DAVIS LN,SALCON CLIFF DR,MAGEE BND,"['2018-07-14', '2018-07-14']",Collector,A,B,B,2022.0,2022.0,2019.0,2214,2,0.0
DAVIS LN|MO-PAC SVC RD NB  S|MULE DEER DR,DAVIS LN,MULE DEER DR,MO-PAC SVC RD NB  S,"['2019-08-02', '2019-08-02']",Collector,C,B,B,2022.0,2022.0,2019.0,1830,2,0.0
DAVIS LN|OAK LEDGE DR|STAR GRASS CIR,DAVIS LN,OAK LEDGE DR,STAR GRASS CIR,['2018-11-17'],Collector,D,F,F,2022.0,2019.0,2017.0,2088,1,
