ID,Length,Material,Diameter,Installed,Leak Occurred
10061,11.71 ft,PVC,6,37257,0
100610,10.32 ft,PVC,6,38700,0
100611,9.73 ft,PVC,12,38700,0
100613,10.93 ft,PVC,8,34256,0
100614,174.59 ft,PVC,8,34256,0
100615,8.22 ft,PVC,4,34256,0
100616,8.2 ft,PVC,3,34256,0
100617,289.74 ft,PVC,12,38253,0
100618,6 ft,PVC,8,38663,0
100619,190.28 ft,PVC,8,38490,0
10062,145.35 ft,PVC,12,36161,0
100620,10 ft,PVC,8,38490,0
100621,10.3 ft,PVC,8,38614,0
100622,87.99 ft,PVC,8,38490,0
100623,14.33 ft,PVC,12,33210,0
100624,143.21 ft,PVC,12,31413,0
100625,8.11 ft,PVC,8,39721,0
100626,80 ft,PVC,8,39721,0
100627,5 ft,PVC,6,39721,0
100628,83.55 ft,PVC,8,39721,0
100629,32.23 ft,PVC,6,39721,0
10063,162.93 ft,PVC,12,32143,0
100630,2.84 ft,PVC,6,39721,0
100631,4.64 ft,PVC,8,39721,0
100632,79.92 ft,PVC,8,37257,0
100633,10.45 ft,PVC,8,37257,0
100634,9.94 ft,PVC,8,37257,0
100635,10.01 ft,PVC,4,37257,0
100636,201.32 ft,PVC,8,37257,0
100637,3.11 ft,PVC,8,37257,0
